1403,multi,1,{"kind":"multi","damage":3880000,"magic":5100000,"crit_chance":0,"crit_val":1,"dodge":5,"renew":20,"defence":2870000,"hp":48850000,"wait":3,"level":1,"rewards":{"gold":0,"exp":0,"items":[[3837,2],[3843,2]]},"shield":14350000}
1405,multi,2,{"crit_chance":0,"dodge":5,"wait":3,"kind":"multi","shield":33550000,"level":2,"damage":10840000,"hp":88550000,"rewards":{"gold":0,"exp":0,"items":[[3837,2],[3843,2]]},"renew":20,"magic":14350000,"crit_val":1,"defence":6710000}
1407,multi,3,{"kind":"multi","shield":53450000,"crit_val":1,"damage":17960000,"hp":131350000,"dodge":5,"crit_chance":0,"rewards":{"gold":0,"exp":0,"items":[[3837,2],[3843,2]]},"level":3,"renew":20,"defence":10690000,"magic":23800000,"wait":3}
1409,multi,4,{"damage":25340000,"wait":3,"shield":74150000,"crit_val":1,"rewards":{"gold":0,"exp":0,"items":[[3837,2],[3843,2]]},"magic":33600000,"crit_chance":0,"dodge":5,"defence":14830000,"hp":176150000,"kind":"multi","level":4,"renew":20}
1411,multi,5,{"level":5,"dodge":5,"wait":3,"rewards":{"gold":0,"exp":0,"items":[[3837,2],[3843,2]]},"damage":33000000,"defence":19130000,"hp":222850000,"crit_chance":0,"crit_val":1,"magic":43780000,"kind":"multi","renew":20,"shield":95650000}
1413,multi,6,{"rewards":{"exp":0,"items":[[3837,2],[3843,2]],"gold":0},"crit_val":1,"dodge":5,"magic":54360000,"hp":271500000,"wait":3,"damage":40970000,"defence":23610000,"renew":20,"kind":"multi","level":6,"shield":118050000,"crit_chance":0}
1415,multi,7,{"damage":49250000,"rewards":{"exp":0,"items":[[3837,2],[3843,2]],"gold":0},"level":7,"shield":141300000,"crit_chance":0,"dodge":5,"kind":"multi","renew":20,"defence":28260000,"hp":322100000,"wait":3,"magic":65360000,"crit_val":1}
1417,multi,8,{"magic":76790000,"hp":374750000,"shield":165550000,"wait":3,"level":8,"defence":33110000,"dodge":5,"renew":20,"crit_val":1,"crit_chance":0,"rewards":{"items":[[3837,2],[3843,2]],"gold":0,"exp":0},"kind":"multi","damage":57860000}
1419,multi,9,{"defence":38140000,"kind":"multi","magic":88690000,"wait":3,"damage":66820000,"crit_chance":0,"dodge":5,"level":9,"renew":20,"hp":429550000,"shield":190700000,"crit_val":1,"rewards":{"exp":0,"items":[[3837,2],[3843,2]],"gold":0}}
1421,multi,10,{"kind":"multi","renew":20,"damage":76130000,"defence":43380000,"shield":216900000,"wait":3,"hp":486550000,"dodge":5,"rewards":{"gold":0,"exp":0,"items":[[3837,2],[3843,2]]},"level":10,"magic":101050000,"crit_chance":0,"crit_val":1}
1423,multi,11,{"level":11,"shield":244100000,"defence":48820000,"wait":3,"magic":113910000,"hp":545850000,"dodge":5,"kind":"multi","renew":20,"damage":85810000,"crit_chance":0,"crit_val":1,"rewards":{"gold":0,"exp":0,"items":[[3837,2],[3843,2]]}}
